WGS84 UTM 17N
437036 4572789
139.09964464738732 -32.38855108618736 346.315
137.6542564148549 8.626061589457095 344.956
74.30577166215517 76.6433020522818 343.835
30.458965785161126 80.31975920591503 346.66
-13.069888903934043 72.64759081695229 345.157
-55.57372114894679 74.03999959304929 346.765
-99.57851804967504 77.19432778749615 347.083
-147.8595583277056 -14.117802190594375 341.525
-72.41437623550883 -76.49640072043985 341.252
-15.919878295855597 -75.06183362938464 342.956
31.77894341078354 -69.35329829808325 344.061
78.23130051395856 -67.121697133407 344.234
112.07819284970174 -15.763280221261084 343.792
111.06471871561371 24.88985897321254 341.077
44.680861626402475 53.05407804623246 343.204
-40.174235814774875 51.735385053791106 346.458
-82.92035341722658 49.87640327308327 348.357
21.106565023830626 -52.72739793732762 345.253
27.207566382712685 35.718972995877266 339.899
-13.400882621703204 30.70152651425451 341.061
-59.09288462967379 34.021344486624 340.492
-34.38808231923031 -42.93580917734653 341.123
6.66309443290811 -34.91538238059729 341.924
47.546413515286986 -28.54322589188814 341.482
91.88633834576467 -18.0403991965577 341.427
70.63075274525909 13.967608057893813 343.547
20.9768658587127 14.453068315982819 344.877
-25.06062275345903 8.782640632241964 343.881
-68.9595598654123 7.029170226305723 344.167
17.396775978559162 -17.343070573173463 342.4
-24.359661189373583 -20.348983395844698 340.872
-38.1980868014507 -23.165005850605667 342.668
-123.99314890429378 -15.318110750988126 345.784
140.40879396669334 -30.793092682026327 342.426
136.12861866498133 9.157369040884078 343.176
137.3592157040257 48.199743245728314 343.119
77.00713738787454 79.4911502469331 344.397
34.06702320824843 76.68945102766156 344.069
-6.3560237918864 77.7428127406165 341.268
-49.085041057202034 73.5457942346111 340.963
-91.01393587811617 74.72987878881395 340.284
-132.08181417401647 69.28223675768822 341.171
-152.83094207325485 -5.198789935559034 340.463
-147.7314043592778 -65.76712418161333 339.912
-87.29275681369472 -74.78829507064074 339.615
-44.25405699328985 -74.94264706410468 340.463
-0.17469203186919913 -73.89373932033777 338.793
42.27300629107049 -70.05172863416374 338.813
84.64418644970283 -68.32753424625844 339.037
113.49093914555851 -10.794798796065152 339.438
111.58368466171669 27.889210964553058 340.333
50.17459854151821 54.75206789281219 339.613
3.707365674141329 54.472978682257235 337.38
-42.02244391659042 51.27030256111175 340.945
-83.83526666101534 50.8373062396422 343.726
-122.59559391468065 -44.52981548104435 340.044
-63.89572019514162 -54.51641947682947 338.335
-16.291687157179695 -57.05098161287606 340.109
28.864049953292124 -52.27338959462941 341.2
70.95347168773878 -47.086559869349 340.891
24.808801994775422 35.05509645212442 339.307
-17.601730636437424 30.065619008615613 341.207
-61.03264140657848 29.70511086191982 343.766
-34.12455913820304 -42.0468101836741 340.667
9.224375106627122 -35.89670539461076 341.222
51.93108817288885 -26.286674169823527 341.683
95.60771261388436 -19.065653539262712 340.336
81.42385888792342 18.27818552404642 340.216
36.926354139111936 19.09516705572605 341.629
-6.790786214754917 10.13237811345607 343.973
-48.37482056597946 5.000217461027205 342.815
-18.70617556781508 -37.52358727902174 340.419
17.111985207069665 -18.540289713069797 341.13
-23.722868751268834 -17.17795599717647 338.915
-22.47938864486059 -20.47939119488001 340.609
-62.891696791746654 -24.02410295419395 341.411
-104.5401333484333 -16.720590201206505 342.679
